sample_id,dsid,file,filename,descriptor,generator,simulation_config,xsec_pb,k_factor,filter_eff,sumw,sumw2,num_events,entries,effective_lumi_fb
411234,411234,input-data/MC/ODEO_FEB2025_v0_GamGam_mc_411234.PowhegHerwig7EvtGen_tt_hdamp258p75_713_dil.GamGam.root,ODEO_FEB2025_v0_GamGam_mc_411234.PowhegHerwig7EvtGen_tt_hdamp258p75_713_dil.GamGam.root,PowhegHerwig7EvtGen_tt_hdamp258p75_713_dil,PowhegHerwig7EvtGen,tt_hdamp258p75_713_dil,730.15,1.0,0.105378,2406006144.0,1784983863296.0,3295000,2847,31270.49030198323
411316,411316,input-data/MC/ODEO_FEB2025_v0_GamGam_mc_411316.PowhegHerwig7EvtGen_tt_hdamp258p75_713_allhad.GamGam.root,ODEO_FEB2025_v0_GamGam_mc_411316.PowhegHerwig7EvtGen_tt_hdamp258p75_713_allhad.GamGam.root,PowhegHerwig7EvtGen_tt_hdamp258p75_713_allhad,PowhegHerwig7EvtGen,tt_hdamp258p75_713_allhad,730.14,1.0,0.45615,17656882856.0,13100240642048.0,24182000,21722,53015.17691635005
412043,412043,input-data/MC/ODEO_FEB2025_v0_GamGam_mc_412043.aMcAtNloPythia8EvtGen_A14NNPDF31_SM4topsNLO.GamGam.root,ODEO_FEB2025_v0_GamGam_mc_412043.aMcAtNloPythia8EvtGen_A14NNPDF31_SM4topsNLO.GamGam.root,aMcAtNloPythia8EvtGen_A14NNPDF31_SM4topsNLO,aMcAtNloPythia8EvtGen,A14NNPDF31_SM4topsNLO,0.010673,1.1267,1.0,1705.092529,148.21727,160000,1178,141.79246342187884
412044,412044,input-data/MC/ODEO_FEB2025_v0_GamGam_mc_412044.aMcAtNloHerwig7EvtGen_H7UE_SM4topsNLO.GamGam.root,ODEO_FEB2025_v0_GamGam_mc_412044.aMcAtNloHerwig7EvtGen_H7UE_SM4topsNLO.GamGam.root,aMcAtNloHerwig7EvtGen_H7UE_SM4topsNLO,aMcAtNloHerwig7EvtGen,H7UE_SM4topsNLO,0.010689,1.1183,1.0,1716.826294,96.365761,160000,813,143.62530174926795
423099,423099,input-data/MC/ODEO_FEB2025_v0_GamGam_mc_423099.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP8_17.GamGam.root,ODEO_FEB2025_v0_GamGam_mc_423099.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP8_17.GamGam.root,Pythia8EvtGen_A14NNPDF23LO_gammajet_DP8_17,Pythia8EvtGen,A14NNPDF23LO_gammajet_DP8_17,172340000000.0,1.0,3.2e-05,2996000.0,2996000.0,2996000,4,0.0005432575142160844
423100,423100,input-data/MC/ODEO_FEB2025_v0_GamGam_mc_423100.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP17_35.GamGam.root,ODEO_FEB2025_v0_GamGam_mc_423100.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP17_35.GamGam.root,Pythia8EvtGen_A14NNPDF23LO_gammajet_DP17_35,Pythia8EvtGen,A14NNPDF23LO_gammajet_DP17_35,16715000000.0,1.0,2.9e-05,2218000.0,2218000.0,2218000,1221,0.004575695998844729
423101,423101,input-data/MC/ODEO_FEB2025_v0_GamGam_mc_423101.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP35_50.GamGam.root,ODEO_FEB2025_v0_GamGam_mc_423101.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP35_50.GamGam.root,Pythia8EvtGen_A14NNPDF23LO_gammajet_DP35_50,Pythia8EvtGen,A14NNPDF23LO_gammajet_DP35_50,1396500000.0,1.0,2.5e-05,2248000.0,2248000.0,2248000,11483,0.06438954529180094
423102,423102,input-data/MC/ODEO_FEB2025_v0_GamGam_mc_423102.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP50_70.GamGam.root,ODEO_FEB2025_v0_GamGam_mc_423102.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP50_70.GamGam.root,Pythia8EvtGen_A14NNPDF23LO_gammajet_DP50_70,Pythia8EvtGen,A14NNPDF23LO_gammajet_DP50_70,379540000.0,1.0,2.7e-05,2993000.0,2993000.0,2993000,26047,0.29206895676832967
423103,423103,input-data/MC/ODEO_FEB2025_v0_GamGam_mc_423103.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP70_140.GamGam.root,ODEO_FEB2025_v0_GamGam_mc_423103.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP70_140.GamGam.root,Pythia8EvtGen_A14NNPDF23LO_gammajet_DP70_140,Pythia8EvtGen,A14NNPDF23LO_gammajet_DP70_140,106210000.0,1.0,3.9e-05,1989000.0,1989000.0,1989000,26366,0.48018077393842395
423104,423104,input-data/MC/ODEO_FEB2025_v0_GamGam_mc_423104.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP140_280.GamGam.root,ODEO_FEB2025_v0_GamGam_mc_423104.Pythia8EvtGen_A14NNPDF23LO_gammajet_DP140_280.GamGam.root,Pythia8EvtGen_A14NNPDF23LO_gammajet_DP140_280,Pythia8EvtGen,A14NNPDF23LO_gammajet_DP140_280,6704600.0,1.0,4.9e-05,1995000.0,1995000.0,1995000,42759,6.072589821061021
